"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\IEmployeeService.cs", "C#", 12, 0, 0, 0, 1, 1, 14
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\ILeaveBalanceService.cs", "C#", 12, 0, 0, 0, 0, 10, 22
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\ILeaveRequestService.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\ILeaveTypeService.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\IOvertimeService.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Interfaces\IPayrollService.cs", "C#", 13, 0, 0, 0, 0, 4, 17
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512053720_InitialCreate.Designer.cs", "C#", 138, 0, 0, 0, 2, 49, 189
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512053720_InitialCreate.cs", "C#", 115, 0, 0, 0, 3, 13, 131
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512063241_AddAttendance.Designer.cs", "C#", 170, 0, 0, 0, 2, 62, 234
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512063241_AddAttendance.cs", "C#", 44, 0, 0, 0, 3, 5, 52
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512075940_AddLeaveManagement.Designer.cs", "C#", 229, 0, 0, 0, 2, 86, 317
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512075940_AddLeaveManagement.cs", "C#", 70, 0, 0, 0, 3, 8, 81
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512083812_AddPayroll.Designer.cs", "C#", 267, 0, 0, 0, 2, 102, 371
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512083812_AddPayroll.cs", "C#", 47, 0, 0, 0, 3, 5, 55
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512093047_AddUserAuth.Designer.cs", "C#", 281, 0, 0, 0, 2, 107, 390
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512093047_AddUserAuth.cs", "C#", 50, 0, 0, 0, 3, 10, 63
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512094755_MadeUserEmployeeIdNullable.Designer.cs", "C#", 280, 0, 0, 0, 2, 107, 389
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512094755_MadeUserEmployeeIdNullable.cs", "C#", 30, 0, 0, 0, 3, 4, 37
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512103404_AddleaveBalance.Designer.cs", "C#", 318, 0, 0, 0, 2, 123, 443
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512103404_AddleaveBalance.cs", "C#", 53, 0, 0, 0, 3, 6, 62
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512112246_AddOvertime.Designer.cs", "C#", 352, 0, 0, 0, 2, 137, 491
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512112246_AddOvertime.cs", "C#", 45, 0, 0, 0, 3, 5, 53
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512121653_AddAuditLog.Designer.cs", "C#", 377, 0, 0, 0, 2, 148, 527
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512121653_AddAuditLog.cs", "C#", 35, 0, 0, 0, 3, 4, 42
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512122049_AddAuditLogUpdate.Designer.cs", "C#", 377, 0, 0, 0, 2, 148, 527
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\20260512122049_AddAuditLogUpdate.cs", "C#", 14, 0, 0, 0, 3, 6, 23
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Migrations\AppDbContextModelSnapshot.cs", "C#", 375, 0, 0, 0, 1, 148, 524
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Attendance.cs", "C#", 14, 0, 0, 0, 0, 7, 21
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\AuditLog.cs", "C#", 14, 0, 0, 0, 1, 2, 17
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Department.cs", "C#", 10, 0, 0, 0, 0, 4, 14
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Designation.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Employee.cs", "C#", 21, 0, 0, 0, 0, 8, 29
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\LeaveBalance.cs", "C#", 15, 0, 0, 0, 0, 1, 16
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\LeaveRequest.cs", "C#", 16, 0, 0, 0, 1, 2, 19
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\LeaveType.cs", "C#", 10, 0, 0, 0, 1, 2, 13
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Overtime.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\Payroll.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Models\User.cs", "C#", 13, 0, 0, 0, 0, 4, 17
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Program.cs", "C#", 87, 0, 0, 0, 3, 24, 114
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Properties\launchSettings.json", "JSON", 0, 41, 0, 0, 0, 1, 42
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\AttendanceService.cs", "C#", 148, 0, 0, 0, 0, 33, 181
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\AuditLogService.cs", "C#", 75, 0, 0, 0, 0, 13, 88
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\AuthService.cs", "C#", 68, 0, 0, 0, 1, 12, 81
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\CurrentUserService.cs", "C#", 18, 0, 0, 0, 0, 5, 23
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\DepartmentService.cs", "C#", 85, 0, 0, 0, 0, 36, 121
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\DesignationService.cs", "C#", 109, 0, 0, 0, 1, 39, 149
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\EmployeeService.cs", "C#", 128, 0, 0, 0, 1, 37, 166
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\LeaveBalanceService.cs", "C#", 110, 0, 0, 0, 0, 18, 128
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\LeaveRequestService.cs", "C#", 160, 0, 0, 0, 0, 39, 199
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\LeaveTypeService.cs", "C#", 76, 0, 0, 0, 0, 15, 91
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\OvertimeService.cs", "C#", 169, 0, 0, 0, 0, 29, 198
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Services\PayrollService.cs", "C#", 149, 0, 0, 0, 1, 37, 187
"e:\Projects Mine\HR and Payroll Mine 3\Backend\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 1, 9
"e:\Projects Mine\HR and Payroll Mine 3\Backend\appsettings.json", "JSON", 0, 17, 0, 0, 0, 1, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\bin\Debug\net8.0\Backend.deps.json", "JSON", 0, 1475, 0, 0, 0, 0, 1475
"e:\Projects Mine\HR and Payroll Mine 3\Backend\bin\Debug\net8.0\Backend.runtimeconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 20
"e:\Projects Mine\HR and Payroll Mine 3\Backend\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 1, 9
"e:\Projects Mine\HR and Payroll Mine 3\Backend\bin\Debug\net8.0\appsettings.json", "JSON", 0, 17, 0, 0, 0, 1, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Backend.csproj.nuget.dgspec.json", "JSON", 0, 103, 0, 0, 0, 0, 103
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Backend.csproj.nuget.g.props", "XML", 0, 0, 26, 0, 0, 0, 26
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Backend.csproj.nuget.g.targets", "XML", 0, 0, 9, 0, 0, 0, 9
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\Backend.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\Backend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 19, 0, 1, 20
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\Backend.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 1, 1, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\Backend.MvcApplicationPartsAssemblyInfo.cs", "C#", 4, 0, 0, 0, 9, 5, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\staticwebassets\msbuild.build.Backend.props", "XML", 0, 0, 3, 0, 0, 0, 3
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Backend.props", "XML", 0, 0, 3, 0, 0, 0, 3
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Backend.props", "XML", 0, 0, 3, 0, 0, 0, 3
"e:\Projects Mine\HR and Payroll Mine 3\Backend\obj\project.assets.json", "JSON", 0, 4357, 0, 0, 0, 0, 4357
"Total", "-", 6245, 6057, 66, 19, 96, 1953, 14436
